"pointid","xcoord","ycoord"
467,522052.727397777,4743616.56086552
468,496980.050876824,4739767.52731065
469,500199.569597951,4740424.02135155
470,532017.047908974,4739776.5203797
471,532008.05483992,4740073.29165847
472,532457.708292592,4740612.87580167
473,532871.389469049,4740756.76490653
474,530236.420236395,4744093.19352535
475,529768.780645617,4744201.11035399
476,525973.705505071,4745289.27170945
477,526414.365888689,4739848.46493213
478,531810.207320745,4739920.40948456
479,532997.292435797,4739947.38869172
480,501467.592334484,4740028.3263132
481,486152.395736498,4740172.21541805
482,485325.033383583,4742420.48268141
483,488697.434278618,4743859.37372996
484,490433.096605929,4742861.14306503
485,490792.819368066,4742456.45495762
486,491386.361925593,4741746.0025024
487,491683.133204356,4740801.73025179
488,530191.454891128,4740397.04214439
489,489389.900595732,4740720.79263031
490,526603.220338811,4740990.58470192
491,488112.884790145,4741143.46687583
492,502582.732897109,4741215.41142825
493,508374.269367515,4741233.39756636
494,508248.366400767,4741817.94705483
495,508185.414917393,4742438.46881952
496,508203.4010555,4743148.92127474
497,508796.943613026,4741350.30746405
498,504839.993229519,4741413.25894743
499,504732.076400878,4741332.32132595
500,524327.973868294,4741611.1064666
501,509066.735684629,4741629.09260471
502,495253.381618566,4741692.04408808
503,496476.439009832,4741575.13419039
504,514273.722666563,4741737.00943335
505,504759.055608038,4741763.98864051
506,525910.754021697,4741979.82229779
507,512708.928651267,4741988.81536685
508,499174.35972586,4741997.8084359
509,499992.729009722,4741422.25201648
510,517915.915633201,4742024.78764306
511,518257.652257231,4741880.89853821
512,491907.959930691,4742141.69754076
513,483589.371056272,4742420.48268141
514,484884.372999965,4742492.42723384
515,522061.720466831,4742879.12920314
516,526917.977755681,4742915.10147935
517,508626.075301011,4743032.01137704
518,530083.538062487,4743184.89355095
519,493904.421260552,4743292.81037959
520,494587.894508612,4743283.81731054
521,513599.242487556,4743562.6024512
522,496935.085531557,4743787.42917753
523,497546.61422719,4744102.1865944
524,517403.310697156,4743832.3945228
525,517628.137423491,4743823.40145375
526,517619.144354438,4743841.38759185
527,520496.926451534,4744120.17273251
528,521863.872947655,4744641.77073761
529,522934.048165013,4746278.50930533
530,494219.178677422,4744255.06876831
531,523473.632308219,4744425.93708033
532,508266.352538874,4744650.76380666
533,508185.414917393,4744650.76380666
534,496206.646938229,4745271.28557135
535,498122.170646609,4745316.25091662
536,486269.305634193,4745325.24398567
537,487726.182820848,4744686.73608288
538,488166.843204466,4744282.04797547
539,520595.850211122,4745343.23012378
540,481682.840416945,4745343.23012378
541,491512.264892341,4745415.1746762
542,490684.902539425,4743409.72027729
543,531459.477627661,4745460.14002147
544,530398.295479357,4745810.86971455
545,530110.517269647,4745738.92516213
546,513734.138523358,4745487.11922863
547,530560.170722319,4745927.77961225
548,490388.131260662,4745927.77961225
549,489722.644150709,4746125.62713142
550,489039.170902648,4744695.72915193
551,506935.378318967,4746179.58554574
552,505928.154584983,4746970.97562245
553,505100.792232068,4747114.8647273
554,504309.402155367,4747402.64293701
555,503050.372487887,4748427.8528091
556,501845.301234728,4748355.90825667
557,526621.206476918,4746197.57168385
558,520991.545249473,4746242.53702912
559,522574.325402876,4746926.01027718
560,515937.440441447,4746521.32216977
561,515523.75926499,4750280.42503411
562,515343.897883921,4750631.15472719
563,514777.334533555,4751269.66262998
564,512969.727653816,4750532.2309676
565,512870.803894229,4750442.30027707
566,503535.998216772,4748553.75577585
567,482896.904739158,4746674.20434368
568,484956.317552393,4746539.30830788
569,485891.596733949,4746278.50930533
570,519876.404686848,4746818.09344854
571,522628.283817197,4747420.62907512
572,488652.468933351,4746952.98948434
573,493481.747015041,4747105.87165825
574,494003.34502014,4747960.21321832
575,495136.471720872,4749120.31912621
576,495280.360825726,4749911.70920292
577,513275.492001633,4747339.69145364
578,480810.512718763,4747411.63600606
579,482429.26514838,4748400.87360194
580,482483.2235627,4748382.88746383
581,502654.677449536,4747519.5528347
582,500091.65276931,4747582.50431808
583,527187.769827284,4747726.39342293
584,524732.661975698,4748832.5409165
585,497573.59343435,4747969.20628738
586,530659.094481907,4748032.15777075
587,530272.392512609,4747519.5528347
588,522466.408574235,4748238.99835898
589,492618.412385912,4748319.93598046
590,530497.219238945,4748400.87360194
591,530299.371719769,4748149.06766844
592,518563.416605048,4748481.81122342
593,522484.394712342,4750954.90521311
594,495181.437066139,4748787.57557124
595,503724.852666894,4748805.56170934
596,498652.761720761,4748994.41615947
597,525038.426323515,4749003.40922852
598,486206.354150819,4749003.40922852
599,487231.56402291,4747897.26173495
600,481961.625557602,4749201.25674769
601,530146.489545861,4749417.09040498
602,490073.373843792,4749417.09040498
603,488607.503588084,4753742.75661968
604,488067.919444878,4754857.8971823
605,487870.071925703,4755541.37043036
606,487339.480851551,4756836.37237405
607,487069.688779948,4757061.19910039
608,486350.243255674,4758446.13173462
609,486629.02839633,4759228.52874227
610,487798.127373275,4760280.71782152
611,488310.732309321,4760442.59306448
612,489111.115455076,4761009.15641484
613,491674.140135302,4761287.9415555
614,493418.795531667,4761054.12176011
615,494264.144022689,4760586.48216933
616,495954.841004733,4761719.60887006
617,497096.960774518,4764165.7236526
618,497060.988498305,4764651.34938148
619,492420.564866737,4749614.93792415
620,522817.138267318,4749740.8408909
621,483238.641363188,4749794.79930522
622,515856.502819966,4749857.7507886
623,500199.569597951,4749992.6468244
624,500010.715147829,4750730.07848678
625,499606.027040425,4751206.71114661
626,498904.567654257,4753293.103167
627,498796.650825616,4754192.41007235
628,513482.332589862,4750091.57058398
629,519876.404686848,4750496.25869139
630,521998.768983457,4751008.86362743
631,501521.550748804,4752888.4150596
632,500487.34780766,4753284.11009795
633,527754.33317765,4750604.17552003
634,515883.482027127,4750775.04383205
635,500963.980467492,4750802.0230392
636,521585.087806999,4751008.86362743
637,502672.663587643,4751098.79431797
638,494318.10243701,4751260.66956093
639,486080.451184071,4751296.64183714
640,526126.58767898,4751773.27449698
641,514957.195914624,4751953.13587804
642,492177.752002294,4752204.94181154
643,495927.861797573,4754372.27145342
