mixture_collection,repunit,bs_corrected_repunit_ppn
snake_deadmansmoose_2020,deadman_greys,1.1088494466327438e-4
snake_deadmansmoose_2020,pacific_NA,0
snake_deadmansmoose_2020,rock_NA,0
snake_deadmansmoose_2020,shoal_NA,0.024391081062494352
snake_deadmansmoose_2020,slate_NA,0
snake_deadmansmoose_2020,snakeriversidechannel_NA,0.07903445209757845
snake_deadmansmoose_2020,spread_southfork,1.0233851095130357e-4
snake_deadmansmoose_2020,spread_uppermainstem,0
snake_deadmansmoose_2020,spring_nps,0
snake_deadmansmoose_2020,spring_tss,9.828790922147699e-5
snake_deadmansmoose_2020,threechannel_NA,0.006361959387456438
snake_deadmansmoose_2020,upperbarbc_NA,0.058866390740708895
snake_deadmansmoose_2020,white_NA,3.0909569232547273e-4
snake_deadmansmoose_2020,willow_NA,0.02502069926357057
snake_southparkastoria_2020,bailey_NA,0.026246882822129954
snake_southparkastoria_2020,blackrock_lower,2.2734593048048842e-4
snake_southparkastoria_2020,blackrock_upper,4.0691252117789604e-5
snake_southparkastoria_2020,blacktail_NA,0
snake_southparkastoria_2020,blindbull_NA,0
snake_southparkastoria_2020,cody_bluecrane,1.297351546231971e-4
snake_southparkastoria_2020,boulder_NA,0.14804825695600538
snake_southparkastoria_2020,box_NA,8.154642050938034e-5
snake_southparkastoria_2020,cabin_NA,0
snake_southparkastoria_2020,clear_NA,0
snake_southparkastoria_2020,cliff_NA,0.02769922817118311
snake_southparkastoria_2020,fall_coburn,6.897194600981662e-4
snake_southparkastoria_2020,cottonwood_grosventre,0
snake_southparkastoria_2020,cottonwood_nps,0
snake_southparkastoria_2020,cowboycabin_NA,3.8266328673920865e-4
snake_southparkastoria_2020,crystal_lower,0
snake_southparkastoria_2020,crystal_upper,0
snake_southparkastoria_2020,deadmansbar_NA,0
snake_southparkastoria_2020,dell_NA,0.03708164422809078
snake_southparkastoria_2020,ditch_NA,0
snake_southparkastoria_2020,dog_NA,0.029418104989402834
snake_southparkastoria_2020,fish_grosventre,1.2293880197884985e-4
snake_southparkastoria_2020,fish_NA,0.14865245579554376
snake_southparkastoria_2020,spreadnf_flagstaff,0
snake_southparkastoria_2020,flat_NA,1.7717934473388328e-4
snake_southparkastoria_2020,fordspring_NA,0
snake_southparkastoria_2020,goosewing_NA,1.6150169858433798e-4
snake_southparkastoria_2020,granite_lower,0.06505687866418813
snake_southparkastoria_2020,granite_upper,1.0144422502586307e-4
snake_southparkastoria_2020,grosventre_lower,0
snake_southparkastoria_2020,hoback_upper,0.09185818155305064
snake_southparkastoria_2020,horse_NA,0.03703128720162784
snake_southparkastoria_2020,lava_NA,0
snake_southparkastoria_2020,leidy_NA,0
snake_southparkastoria_2020,littlegreys_steer,0.012208097966072532
snake_southparkastoria_2020,lowerbarbc_NA,0.06851847620032273
snake_southparkastoria_2020,mosquito_NA,0.05075457898936063
snake_southparkastoria_2020,northbuffalofork_NA,0.02044563040889568
snake_southparkastoria_2020,deadman_greys,0.016302970789410114
snake_southparkastoria_2020,pacific_NA,2.152461316278516e-4
snake_southparkastoria_2020,rock_NA,6.682917172591464e-5
snake_southparkastoria_2020,shoal_NA,0.08998189667976599
snake_southparkastoria_2020,slate_NA,0
snake_southparkastoria_2020,snakeriversidechannel_NA,1.6154794621951935e-4
snake_southparkastoria_2020,spread_southfork,0
snake_southparkastoria_2020,spread_uppermainstem,0
snake_southparkastoria_2020,spring_nps,0
snake_southparkastoria_2020,spring_tss,1.0790901359634133e-5
snake_southparkastoria_2020,threechannel_NA,0
snake_southparkastoria_2020,upperbarbc_NA,0
snake_southparkastoria_2020,white_NA,1.1681130996884428e-4
snake_southparkastoria_2020,willow_NA,0.12800943754915686
snake_astoriawesttable_2020,bailey_NA,0.2033177390728131
snake_astoriawesttable_2020,blackrock_lower,0
snake_astoriawesttable_2020,blackrock_upper,9.78611724792898e-6
snake_astoriawesttable_2020,blacktail_NA,0
snake_astoriawesttable_2020,blindbull_NA,0.025810432042981897
snake_astoriawesttable_2020,cody_bluecrane,2.0750369229706591e-4
snake_astoriawesttable_2020,boulder_NA,0.1439223145708435
snake_astoriawesttable_2020,box_NA,7.32431801802241e-5
snake_astoriawesttable_2020,cabin_NA,0.1272215264127571
snake_astoriawesttable_2020,clear_NA,0
snake_astoriawesttable_2020,cliff_NA,0.0299101092025437
snake_astoriawesttable_2020,fall_coburn,0
snake_astoriawesttable_2020,cottonwood_grosventre,1.0178096118827709e-4
snake_astoriawesttable_2020,cottonwood_nps,0
snake_astoriawesttable_2020,cowboycabin_NA,3.234683831376615e-4
