section,repunit,distkm
snake_deadmansmoose,spring_tss,61.29249286063321
snake_deadmansmoose,threechannel_NA,25.063804805623146
snake_deadmansmoose,upperbarbc_NA,6.444855234876355
snake_deadmansmoose,white_NA,143.23427515904203
snake_deadmansmoose,willow_NA,74.52194209616476
snake_deadmansmoose,NA,NA
snake_deadmansmoose,NA,NA
snake_deadmansmoose,NA,NA
snake_deadmansmoose,NA,NA
snake_deadmansmoose,NA,NA
snake_moosewilson,bailey_NA,63.97750679454014
snake_moosewilson,blackrock_lower,72.66865004861268
snake_moosewilson,blackrock_upper,90.89437103141451
snake_moosewilson,blacktail_NA,13.304485202094634
snake_moosewilson,blindbull_NA,136.4630033120178
snake_moosewilson,boulder_NA,72.03006627626036
snake_moosewilson,box_NA,84.30243260138776
snake_moosewilson,cabin_NA,62.09017629422853
snake_moosewilson,clear_NA,86.35329096663968
snake_moosewilson,cliff_NA,74.80797534409459
snake_moosewilson,cody_bluecrane,36.43173003408652
snake_moosewilson,cottonwood_grosventre,70.25009471085448
snake_moosewilson,cottonwood_nps,14.555535304760827
snake_moosewilson,cowboycabin_NA,22.953556461685157
snake_moosewilson,crystal_lower,48.299991511278265
snake_moosewilson,crystal_upper,57.02037526337692
snake_moosewilson,deadman_greys,134.10212608530676
snake_moosewilson,deadmansbar_NA,31.199754369645234
snake_moosewilson,dell_NA,82.81003673143721
snake_moosewilson,ditch_NA,27.12444196313233
snake_moosewilson,dog_NA,56.872524807389226
snake_moosewilson,fall_coburn,48.494781528293764
snake_moosewilson,fish_NA,25.022459564099044
snake_moosewilson,fish_grosventre,71.45256407235442
snake_moosewilson,flat_NA,66.05253872137573
snake_moosewilson,fordspring_NA,26.986870362634594
snake_moosewilson,goosewing_NA,66.93983229161762
snake_moosewilson,granite_lower,68.57862629909398
snake_moosewilson,granite_upper,83.57087762576934
snake_moosewilson,grosventre_lower,15.289056657009874
snake_moosewilson,hoback_upper,114.20322903066528
snake_moosewilson,horse_NA,47.72100320319913
snake_moosewilson,lava_NA,59.203896804838635
snake_moosewilson,leidy_NA,77.02862390300358
snake_moosewilson,littlegreys_steer,113.17218405047662
snake_moosewilson,lowerbarbc_NA,7.105634208042065
snake_moosewilson,mosquito_NA,25.081877816748094
