"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model3",0,0,-1199.48097938224,53.6243082484386,251.775368657267,15.3643247298406,2398.96195876448,107.248616496877
"model2",-28.5299086750916,16.1188334917455,-1228.01088805733,51.5228946814228,331.588728865457,17.1293362598102,2456.02177611466,103.045789362846
"model1",-94.9712835882686,25.3449898156538,-1294.45226297051,47.5774408533512,478.453030504927,16.8785301963852,2588.90452594102,95.1548817067024
"model4",-607.928712763899,73.7157741398458,-1807.40969214614,98.0827457552145,328.814512898185,28.2926127880437,3614.81938429228,196.165491510429
"model5",-2073.44300205865,128.245177900306,-3272.92398144088,137.00239077061,10.2244725878491,0.554447006613357,6545.84796288176,274.00478154122
