mixture_collection,repunit,bs_corrected_repunit_ppn
snake_deadmansmoose,threechannel_NA,0.03911854029512554
snake_deadmansmoose,upperbarbc_NA,0.1602487610123299
snake_deadmansmoose,white_NA,1.2166182968192658e-5
snake_deadmansmoose,willow_NA,0.03317876790635745
snake_southparkastoria,bailey_NA,0.048708683683467806
snake_southparkastoria,blackrock_lower,0
snake_southparkastoria,blackrock_upper,0
snake_southparkastoria,blacktail_NA,0.01122685363766663
snake_southparkastoria,blindbull_NA,0
snake_southparkastoria,cody_bluecrane,4.7258961076809194e-5
snake_southparkastoria,boulder_NA,0.06690673965269685
snake_southparkastoria,box_NA,1.1522109222107812e-4
snake_southparkastoria,cabin_NA,0.0254445301522348
snake_southparkastoria,clear_NA,0
snake_southparkastoria,cliff_NA,0.10366712475397132
snake_southparkastoria,fall_coburn,0.01618057723421644
snake_southparkastoria,cottonwood_grosventre,3.331278914897636e-5
snake_southparkastoria,cottonwood_nps,6.677407115013621e-4
snake_southparkastoria,cowboycabin_NA,1.790278117630606e-4
snake_southparkastoria,crystal_lower,0
snake_southparkastoria,crystal_upper,4.8403192867106194e-5
snake_southparkastoria,deadmansbar_NA,0
snake_southparkastoria,dell_NA,0.023987951098500538
snake_southparkastoria,ditch_NA,0
snake_southparkastoria,dog_NA,0.06822118896716008
snake_southparkastoria,fish_grosventre,4.647610216043064e-5
snake_southparkastoria,fish_NA,0.13036287634777377
snake_southparkastoria,spreadnf_flagstaff,2.261723513314112e-5
snake_southparkastoria,flat_NA,1.0195541234214445e-4
snake_southparkastoria,fordspring_NA,0
snake_southparkastoria,goosewing_NA,0
snake_southparkastoria,granite_lower,0.05353473115897379
snake_southparkastoria,granite_upper,1.429776327784144e-4
snake_southparkastoria,grosventre_lower,0.020203196591996306
snake_southparkastoria,hoback_upper,0.08098577841095263
snake_southparkastoria,horse_NA,0.034710695102731025
snake_southparkastoria,lava_NA,0
snake_southparkastoria,leidy_NA,0
snake_southparkastoria,littlegreys_steer,0.015698389693919183
snake_southparkastoria,lowerbarbc_NA,0.03959745418613653
snake_southparkastoria,mosquito_NA,0.055823054205615515
snake_southparkastoria,northbuffalofork_NA,0.007148198261290462
snake_southparkastoria,deadman_greys,0.012509471909513604
snake_southparkastoria,pacific_NA,1.355946381903323e-4
snake_southparkastoria,rock_NA,1.1746418686192766e-4
snake_southparkastoria,shoal_NA,0.05741194814734976
snake_southparkastoria,slate_NA,0
snake_southparkastoria,snakeriversidechannel_NA,0
snake_southparkastoria,spread_southfork,0
snake_southparkastoria,spread_uppermainstem,0
snake_southparkastoria,spring_nps,0
snake_southparkastoria,spring_tss,1.741052333194837e-5
snake_southparkastoria,threechannel_NA,0.011044049815288786
snake_southparkastoria,upperbarbc_NA,0
snake_southparkastoria,white_NA,4.371232949904224e-4
snake_southparkastoria,willow_NA,0.11451392340417713
snake_astoriawesttable,bailey_NA,0.16968975040043127
snake_astoriawesttable,blackrock_lower,2.348830382445406e-5
snake_astoriawesttable,blackrock_upper,0
snake_astoriawesttable,blacktail_NA,0
snake_astoriawesttable,blindbull_NA,0.012246838567539425
snake_astoriawesttable,cody_bluecrane,0
snake_astoriawesttable,boulder_NA,0.09346604558200518
snake_astoriawesttable,box_NA,5.182691155359127e-5
snake_astoriawesttable,cabin_NA,0.15776897556667688
snake_astoriawesttable,clear_NA,0
snake_astoriawesttable,cliff_NA,0.06375295551103953
snake_astoriawesttable,fall_coburn,1.0693461404232604e-4
snake_astoriawesttable,cottonwood_grosventre,0
snake_astoriawesttable,cottonwood_nps,0
snake_astoriawesttable,cowboycabin_NA,2.5403825349673066e-4
snake_astoriawesttable,crystal_lower,7.71063080886174e-5
snake_astoriawesttable,crystal_upper,0
snake_astoriawesttable,deadmansbar_NA,6.0621625323243356e-5
snake_astoriawesttable,dell_NA,6.001168397755394e-4
snake_astoriawesttable,ditch_NA,5.472307782388816e-5
snake_astoriawesttable,dog_NA,0.08735033025228715
snake_astoriawesttable,fish_grosventre,0
snake_astoriawesttable,fish_NA,0.05340998088732942
snake_astoriawesttable,spreadnf_flagstaff,7.024239108183897e-5
snake_astoriawesttable,flat_NA,2.955811722664184e-5
snake_astoriawesttable,fordspring_NA,0
snake_astoriawesttable,goosewing_NA,0
snake_astoriawesttable,granite_lower,0.026887158533721086
snake_astoriawesttable,granite_upper,3.917923143201996e-5
snake_astoriawesttable,grosventre_lower,0.011661046876825934
snake_astoriawesttable,hoback_upper,0
snake_astoriawesttable,horse_NA,0.00795656707249995
snake_astoriawesttable,lava_NA,1.2987642185908239e-5
snake_astoriawesttable,leidy_NA,0
snake_astoriawesttable,littlegreys_steer,0.03416446121602532
snake_astoriawesttable,lowerbarbc_NA,0.06064009190108749
snake_astoriawesttable,mosquito_NA,0.01975451462820361
snake_astoriawesttable,northbuffalofork_NA,0
snake_astoriawesttable,deadman_greys,7.636107095883721e-4
snake_astoriawesttable,pacific_NA,0.004781779893835592
snake_astoriawesttable,rock_NA,0
snake_astoriawesttable,shoal_NA,0.030779391627580734
snake_astoriawesttable,slate_NA,1.2449911784304536e-4
snake_astoriawesttable,snakeriversidechannel_NA,0
snake_astoriawesttable,spread_southfork,0
snake_astoriawesttable,spread_uppermainstem,0
snake_astoriawesttable,spring_nps,0
snake_astoriawesttable,spring_tss,0.004647392181548024
snake_astoriawesttable,threechannel_NA,0.010968767816657397
snake_astoriawesttable,upperbarbc_NA,0.005976237259150518
snake_astoriawesttable,white_NA,1.3642792221745163e-4
snake_astoriawesttable,willow_NA,0.14169235316005194
snake_moosewilson,bailey_NA,0
